Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables,Public Awareness,Energy Efficiency Programs,Urbanization Rate,Industrialization Rate,Energy Market Liberalization,Renewable Energy Patents,Educational Level,Technology Transfer Agreements,Renewable Energy Education Programs,Local Manufacturing Capacity,Import Tariffs on Energy Equipment,Export Incentives for Energy Equipment,Natural Disasters,Political Stability,Corruption Perception Index,Regulatory Quality,Rule of Law,Control of Corruption,Economic Freedom Index,Ease of Doing Business,Innovation Index,Number of Research Institutions,Number of Renewable Energy Conferences,Number of Renewable Energy Publications,Energy Sector Workforce,Proportion of Energy from Renewables,Public-Private Partnerships in Energy,Regional Renewable Energy Cooperation
USA,2011,Solar,85404.69,5549.79,5604124938.34,1064007213,177527818919196.19,369654.64,93087.20,13413.18,294399.38,756878,1,8676561392.14,1,21.96,157.01,203.04,5.84,95.60,2.52,30.27,367.57,0.31,0.15,168820814.70,236880384.72,7.17,0,58.56,9.52,0,423,5.95,0,1,58.77,79.05,1.63,0,1.17,8.83,5.09,2.21,6.34,49.22,57.68,76.80,851,75,6361,511658,25.91,1,0
Australia,2008,Geothermal,22205.07,43211.59,636188589.24,1033255852,64353719977940.70,771781.64,1752.54,78493.98,826531.68,945074,0,4421451899.87,1,24.63,1336.00,111.13,14.87,71.73,88.70,36.04,556.56,0.84,0.33,845225474.66,152507363.19,9.35,1,30.59,29.72,0,519,0.76,0,1,82.40,33.32,96.10,1,6.79,3.76,6.81,6.31,0.72,79.99,1.76,48.70,590,39,9752,974948,95.00,0,1
Canada,2013,Biomass,94102.73,6139.12,6158679593.93,14895124,156792558512690.16,342707.15,65146.59,41114.87,43695.24,588423,1,8568534293.08,1,13.50,357.52,160.00,3.47,84.02,6.61,54.60,30.99,0.21,0.16,257833727.42,873341258.96,5.82,1,31.91,10.51,0,215,3.63,1,1,30.24,91.86,56.30,0,4.90,2.02,1.27,0.42,8.90,94.37,77.66,67.33,101,7,311,326318,67.35,1,0
Japan,2010,Biomass,88771.93,40323.64,8526116427.91,1448827283,135046406195172.50,498839.57,50257.59,42010.48,840378.80,11049,1,9958630991.25,0,1.09,2271.31,297.16,13.58,53.17,39.86,45.28,592.95,0.27,0.45,979826937.61,799937956.80,0.63,1,89.95,17.60,1,73,4.59,0,0,45.85,60.54,11.95,1,8.88,7.95,3.82,1.11,3.85,65.14,44.99,4.54,327,3,7708,506078,33.75,0,0
China,2018,Solar,93288.41,30755.40,5086237221.21,1499494307,86779560922578.30,819064.36,63101.40,17912.96,162034.25,225191,0,7608111765.73,1,30.64,2285.02,133.27,14.96,46.42,98.65,93.73,933.74,0.18,0.06,676760614.69,96971816.25,1.32,0,44.69,44.32,1,859,0.00,1,0,64.52,95.85,99.98,1,7.70,5.60,2.03,0.63,1.35,86.21,62.54,10.29,985,69,4919,187964,59.51,1,0
India,2014,Wind,90483.65,28526.82,9359773764.31,796046057,12010867961551.84,363527.70,81737.60,79121.27,132562.79,816485,0,224698807.04,0,37.74,2457.03,220.44,6.66,17.62,41.18,78.76,940.61,0.68,0.07,19569394.89,609103085.14,9.63,1,73.75,12.87,0,131,7.27,1,1,94.20,39.22,72.44,1,4.88,5.68,2.44,3.12,2.29,55.93,87.39,91.74,915,52,1684,602517,8.96,1,1
Germany,2014,Wind,5656.91,20658.70,7703453579.00,926881425,110480523170481.48,997437.34,95825.29,38129.26,695687.12,708461,1,7641579270.63,0,-2.00,721.54,256.75,10.96,89.34,41.64,32.30,924.63,0.87,0.50,200865724.72,908599450.32,4.33,0,20.95,52.34,1,237,3.13,1,1,12.61,52.18,48.41,1,6.99,3.19,8.99,3.97,4.42,40.33,54.16,55.12,419,67,895,188545,63.05,0,0
Germany,2016,Biomass,63308.33,47740.70,2808873172.84,518729600,27111924401732.71,228249.13,28094.83,93865.64,85869.94,354460,0,7855940459.33,0,16.03,1314.22,223.84,10.53,65.82,30.11,36.69,48.39,0.68,0.19,737798234.72,793133419.93,0.18,0,48.66,72.70,0,219,3.40,1,1,31.27,15.03,93.19,1,7.58,0.62,4.15,2.94,9.13,26.98,94.82,31.33,187,72,8925,735675,66.66,0,1
Japan,2015,Biomass,70560.47,37648.72,9095394363.11,104974272,60886171438019.75,121449.84,61009.67,26814.91,833178.36,339831,0,9601446561.06,0,13.80,2196.32,299.83,1.39,51.90,29.65,26.06,386.54,0.34,0.50,829625319.67,996826420.43,9.85,0,34.62,15.77,1,12,3.89,1,0,32.41,70.35,91.67,1,8.98,6.55,7.91,6.81,3.25,69.94,23.78,71.29,995,34,1287,707187,59.38,1,0
Canada,2002,Wind,57780.10,22408.24,2810623523.56,1304327983,79793351601566.97,364330.10,32170.72,54550.20,146833.08,938728,0,7050800475.41,1,0.90,779.83,252.41,1.01,95.34,56.86,15.14,966.19,0.62,0.30,134868198.93,533067156.38,3.02,0,4.18,49.99,0,350,2.43,1,1,42.28,29.69,34.37,0,9.73,3.39,2.18,9.22,5.90,76.11,4.62,52.15,775,51,2919,573988,55.02,1,0
